Call Number,Digital Image,Link to Fedora,Title,Publisher / Printer,Year(s),Notes,Number of Sheets,Type of Map,Location,lat.top,lat.bot,long.left,long.right
xG3842.M6 1646 .D83,g3842.m6_1646.d83.jpg,,Carta particolare della Virginia vecchia e Nuoua,"Dudley, Robert",1646 - 1661,,1,Historic Map,Chesapeake Bay,39° 50′ N,37° 53′ N ,79° 29′ W,75° 03′ W 
G3880 1757.R6,g3880_1757.r62.jpg,http://hdl.handle.net/1903.1/12554,Carte de la Virginia et du Maryland,"Fry, Joshua et Pierre Jefferson",1757,SPECIAL PERMISSION USE ONLY. Published by Robert de Vaugondy.,1,historical maps,Virginia - Chesapeake Bay,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
MD/VA 037,mdva37.jpg,,"Carte de la Virginia et du Maryland, ou de la baie de Chesapeake et pays voisins","Bellin, N",1764,,1,Historical maps,Maryland and Virginia,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
MD/VA 038,mdva38.jpg,,"Carte de la Virginie, du Maryland et de l'etat de Delaware","Hilliard d'Auberteuil, Michel Rene",1782,,1,Historical maps,Maryland and Virginia,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
MD 030,md030d.jpg,,"Carte geographique, statistique et historique du Maryland","Carez, J.",1825?,,1,Historical Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 115,md115d.jpg,,Directory of Mineral Producers in Maryland,Maryland Geological Survey,1979,,1,Mineral resource maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 045,md045d.jpg,,Distribution of Gravel and Sand Deposits in the Region Southeast and South of Washington D.C.,"Darton, N.H.",1938,Originally bound with: MD TN939.D3,1,Mineral Resources Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
BC 009,bc0097.jpg,,Existing Parks and Recreation Facilities,Simonds & Simonds,1965,,1,Thematic maps,Maryland - Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD 075,md075tr.jpg,,"Extent of Aerial Mosiacs, Maryland",U.S. Soil Conservation Service,1967,,1,Regional Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
BC 025,bc025.jpg,http://hdl.handle.net/1903.1/12572,F. Klemm's Map of Baltimore & Suburbs,"Martenet, Simon J.",1873,,1,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BC 087,bc087.jpg,,F. Klemm's Map of Baltimore and the Proposed Extension of the City Compiled from Actual Surveys by S.J. Martenet,"Klemm, F",1872,,1,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BC 060,bc-060_1.jpg,http://hdl.handle.net/1903.1/12535,"First Records of Baltimore Town and Jones Town, 1729-1797",,1905,Originally bound with: Maryland F189.B1B12,3,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD 003,md003d.jpg,,Fish and Game Habitats and Recreational Areas in the State.,Maryland Conservation Dept.,1939,,1,Thematic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 025,md025d.jpg,,Foxhunting with Horse and Hounds in the Free State,"Eldredge, Robert",1975,,1,Thematic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 067,md067tr.jpg,,Gas and Electric Stations and Territory,"Consolidated Gas, Electrical Light and Power Co.",1939,Date estimated. On reverse diagram of how electricity is made from coal and natural gas.,1,Public Utility Maps,Baltimore County,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD 066,md066.jpg,,Gas and Electric Stations and Territory(2),"Consolidated Gas, Light, Electric and Power Com.",No Date,Published prior to 1954.,1,Public Utilities Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 100,md100-1.jpg,,General Assembly Legislative Districts,Maryland. Dept. of State Planning,1974 - 1976,Includes inset of Baltimore City districts,2,Census Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 018,md0181.jpg,,Generalized Geologic Map of Maryland,Maryland Geological Survey,1967,,1,Geological Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 029,md029d.jpg,,"Geographical, Statistical and Historical Map of Maryland, with Appendix","Lucas, Fielding",1822,,1,Historical Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 017,md017d.jpg,,Geologic Map of Maryland,Maryland Geological Survey,1968,,2,Geologic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 079,md079.jpg,,"Geology and Structure of Sugarloaf Mountain Area, Maryland","Scotford, D.M.",1949,"From: Bulletin of the Geologic Society of America, v. 62, pl. 1.",1,Geological Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 071,md071d.jpg,,Graphic Logs Showing Percent of Heavy Minerals in Four Wells in the Maryland Coastal Plain,"Maryland Dept. of Geology, Mines and Water Resources",1955,,1,Mineral Resources Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 132,md132d.jpg,,Historical Maps of Maryland.,"Papenfuse, Edward.",1651 - 1852,"For a full description of the historical maps reprinted in this collection, see MD G1270.P3 1983 Folio. Date of maps: 1801, 1651, 1671, 1678, 1752, 1852.",7,Historical maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
BC 124,bc124-oversize.jpg,,Homeland,Roland Park Company,1941,,1,Land use maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BC 035,bc035-oversize.jpg,,Howard Park,Washington & Baltimore Land Company,No Date,,1,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BC 017,https://digital.lib.umd.eduhttp://hdl.handle.net/1903.1/12556,http://hdl.handle.net/1903.1/12556,Indexed Atlas of the World: Map of Baltimore,"Rand, McNally & Company",1891,,1,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD/DE 025,mdde025d-tr.jpg,,Indexed Atlas of the World: Maryland and Delaware,"Rand, McNally & Co.",1898,,1,Historical maps,Maryland and Delaware,39° 50′ N,37° 53′ N ,79° 29′ W,75° 03′ W 
MD 014,md014dindex.jpg,,Landfill Location Map,Maryland Dept. of Natural Resources,1978,Originally bound with: Maryland State Doc (Water Resources Admin. .5 A field reconnaissance investigation of sanitary landfills),1,Thematic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 056,md056d.jpg,,Literary Maryland: Selected Authors and their Works,Maryland Council of Teachers of English,1967,,1,Thematic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
BC 088,bc088.jpg,,"Loudon Park Cemetery, Baltimore, Maryland",,1921,,1,Regional maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BA 057,ba-057.jpg,http://hdl.handle.net/1903.1/11470,Map B of Baltimore and Harford Counties,"Weber, Edward.",1839,Originally bound with: Maryland QE 121.A19 1839,1,Historical maps,Baltimore County,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BC 049,bc049-oversize.jpg,,Map Lithographed for the City of Baltimore Showing the Proposed Extension,"Martenet, Simon J.",1874,,1,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD 062,md062.jpg,,Map Showing Principal Gas Mains of [the company],"Consolidated Gas, Electric, Light, and Power Co.",1954,,1,Public Utility Maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
BC 015,bc-015.jpg,http://hdl.handle.net/1903.1/12541,"Map of Baltimore, Maryland","Boynton, G.W.",1838,,1,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BC 106,bc-106.jpg,http://hdl.handle.net/1903.1/12534,"Map of Baltimore, circa 1885","Weishampel, J.F.",1885 (circa),,1,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD 170,md170d1.jpg,,Map of Boundary Line in Tangier and Pocomoke Sounds,,1898,Originally bound with: MD F187.B7M27.,1,Historical maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
LI 001,liberia1.jpg,,Map of Liberia,R. Coyle,No Date,,1,,Liberia,9° 0′ N,4° 0′ N,12° 0′ W,7° 0′ W
MD 020,md020.jpg,,Map of Maryland,"Butler, E.H.",1886,Originally bound with: Maryland F181.3.H5.,1,Regional Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD/DE 028,mdde028-2.jpg,,Map of Maryland Including Delaware and the District of Columbia Showing Average Temperature and Precipitation,Maryland. State Weather Service,1889,,5,Historical maps,Maryland and Delaware,39° 50′ N,37° 53′ N ,79° 29′ W,75° 03′ W 
MD 108,md108d.jpg,,Map of Maryland Showing Forested Area,Maryland. State Dept. of Forestry,1927,,1,Forestry maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 006,md006.jpg,,Map of Maryland Showing Natural Resources of the Counties,Maryland Bureau of Immigration,No Date,Map of the central portion of Baltimore City showing railroad stations and points of interest.,1,,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 106,md106d.jpg,,Map of Maryland Showing the Present Boundaries of the State and the Boundaries of the Original Territory Granted to Lord Baltimore . . .,"Gray, Frank A.",1879,Map was expressly prepared to accompany Scharf's History of Maryland.,1,Historical maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 033,md033d.jpg,,Map of Maryland(5),Maryland Dept. of Geology Mines and Water Resources,1961,,1,Geological Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 134,md134d.jpg,,"Map of Maryland, 1887","Rand, McNally and Company",1887,Includes insets of Garrett County and District of Columbia. Originally bound with: Maryland F179.5.A18 1887.,1,Historical maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 083,md083d.jpg,,"Map of Maryland, 1913",Maryland Geological Survey,1913,,1,Geological Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 027,md0271.jpg,,"Map of Maryland, Atlas Edition",,1865?,,2,Regional Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 121,md121d.jpg,,"Map of Maryland, Delaware and District of Columbia",Maryland. Bureau of Immigration,1904,Originally bound with: Maryland F181.M28.,1,Historical maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 026,md026d.jpg,,Map of Office Locations,Maryland National Bank,1964,,1,Thematic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 166,md166d.jpg,,Map of St. George Island,,1939,,1,Regional maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD/VA 032,mdva32d.jpg,,"Map of Virginia, Maryland and Delaware","Mutlow, I",1794,,1,Historical maps,Maryland and Virginia,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
MD 048,md0481.jpg,,"Map of the Baltimore, Chesapeake and Atlantic Railway Co.","Baltimore, Chesapeake and Atlantic Railway Co.",1906,"Also shows Maryland, Delaware, and Virginia Railway Co.",1,Transportation Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
BC 019,bc-019.jpg,http://hdl.handle.net/1903.1/12538,Map of the City and Suburbs of Baltimore,"Simmons, Isaac",1853,With attached folder.,1,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD 143,md143d.jpg,,Map of the Country Embraced in the Surveys Made in 1838 . . . Concerns a proposed Maryland canal,"Lee, T.J.",1838,"Includes two copies of the map, one original and one reproduction.",2,Historical maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD/DE 005,mdde-005.jpg,http://hdl.handle.net/1903.1/12525,Map of the States of Maryland and Delaware,"Denison, J.",1796 (circa),,1,Historical maps,Maryland and Delaware - Chesapeake Bay,39° 50′ N,37° 53′ N ,79° 29′ W,75° 03′ W 
MD 061,md061d-b1.jpg,,"Martenet's Map of Maryland, Including District of Columbia","Martenet, Simon J.",1865,A sketch of Delaware and Portions of North and East Virginia showing some of the most interesting localities of the late war,4,Regional Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 031,md031.jpg,,Maryland 1838,,1838,Engraved by G. W. Bonton.,1,Historic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 095,md095d.jpg,,Maryland Bicentennial Trail Map,Maryland Bicentennial Commission,1976,,1,Thematic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 044,md044d.jpg,,Maryland Highway Map,Maryland State Roads Commission,1951,,1,Transportation Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 073,md073.jpg,,Maryland Index to Aerial Photography,U.S. Soil Conservation Service,No Date,,1,,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 072,md072.jpg,,Maryland Notations for Aerial Photography,U.S. Soil Conservation Service,1967,,1,Regional Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 087,md087.jpg,,Maryland Proposed System of Non-Urban Public Recreational Areas,Maryland State Planning Commission,1940,,1,Regional Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 110,md-110.jpg,http://hdl.handle.net/1903.1/12528,Maryland [and] Western Part of Maryland,"Lewis, Samuel",1804 (circa),Map was drawn prior to 1804.,1,Historical maps,Maryland - Chesapeake Bay,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 077,md077.jpg,,Maryland and District of Columbia,U.S. Soil Conservation Service,1969,,1,Regional Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 038,md038.jpg,,"Maryland, 1796",,1796?,Published in Philadelphia. Probably from Carey's American Pocket Atlas,1,Historic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 163,md163.jpg,,"Maryland, 1824","Finley, A. (publisher)",1824,"See also MD 40 which is the same map, but with different detail of surrounding states.",1,Historical maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 040,md040.jpg,,"Maryland, 1826","Finley, Anthony",1826,,1,Historic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 117,md117.jpg,,"Maryland, 1845","Tanner, Henry S.",1845,,1,Historical maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 036,md036dc.jpg,,"Maryland, Inset: City of Baltimore","Lucas, F. Jr.",1819,,2,Historic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 032,md0321.jpg,,"Maryland, Inset: Maryland West of Cumberland","Barker, W.",1813,,1,Historic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 037,md037.jpg,,"Maryland, Inset: Maryland West of Cumberland.","Barker, W.",1796,,1,Historic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 039,md039.jpg,,"Maryland, Inset: Western part of Maryland (Continued)","Arrowsmith, Aaron",1812,"Two copies, copy 1 colored.",2,Historical Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 034,md034d.jpg,,"Maryland, Old Line State","International Visual Educational Service, Inc.",1960,,1,Regional Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
G3840 1814.C37 MAP 0408,https://digital.lib.umd.eduhttp://hdl.handle.net/1903.1/12533,http://hdl.handle.net/1903.1/12533,Maryland. Inset: Western part of Maryland,"Carey, Mathew",1814,SPECIAL PERMISSION USE ONLY.,1,historical maps,Maryland - Chesapeake Bay,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
BC 031,bc-031.jpg,http://hdl.handle.net/1903.1/12536,Maryland: Baltimore Quadrangle,U.S. Geological Survey,1892,,1,Quadrangle maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BC 057,bc-057_1936.jpg,,"Maryland: Baltimore Quadrangle, 1904",Maryland Geological Survey,1904,Prepared in cooperation with the U.S. Geological Survey. Reprinted in 1936 and 1947.,1,Quadrangle maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD 116,md116d.jpg,,Maryland: Gunpowder Quadrangle,Maryland Geological Survey,1902,,1,Topographic maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 112,md112d.jpg,,Maryland: Mount Airy Quadrangle,Maryland Geological Survey,1909,Reprinted 1925.,1,Topographic maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 042,md042.jpg,,Maryland: Relative Elevations and Forested Areas,Maryland State Planning Commission,1940,,1,Forestry Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 022,md022d-1.jpg,,Metropolitan Map Series: Baltimore-Washington,Maryland State Roads Commission,1970 - 1972,,41,Transportation Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 135,md135d.jpg,,"Mineral Localities of Washington, D.C. Area","Bernstein, Lawrence R.",1980,Originally bound with: Maryland QE375.5W3B47 1980.,3,Mineral resource maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
BC 010,bc010.jpg,,Neighborhood-community Recreation Deficiencies,Simonds & Simonds,1965,"Prepared for the Department of Recreation & Parks, the Department of Planning. Special Permission Use Only.",1,Thematic maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BC 033,bc033.jpg,,New Bond Paper Map on Baltimore,"Whittemann, Adolph",1886,,1,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD/DE 018,mdde018.jpg,,New Map of Maryland & Delaware,"Thomas, Cowperthwait & Co.",1856,,1,Historical maps,Maryland and Delaware,39° 50′ N,37° 53′ N ,79° 29′ W,75° 03′ W 
MD/DE 035,mdde035d.jpg,,"New Map of Maryland, Delaware and the District of Columbia","Wetshampel, John F.",1875,,1,Historical maps,Maryland and Delaware,39° 50′ N,37° 53′ N ,79° 29′ W,75° 03′ W 
G3880 1752.B68 MAP 0369,https://digital.lib.umd.eduhttp://hdl.handle.net/1903.1/12529,http://hdl.handle.net/1903.1/12529,New annd Accurate Map of Virginia and Maryland.,"Bowen, Emanuel.",1751,SPECIAL PERMISSION USE ONLY.,1,historical maps,Maryland and Virginia - Chesapeake Bay,39° 43′ N,36° 32′ N,83° 41′ W,75° 03′ W
G3880 1635.N68,g3880_1635.n68.jpg,http://hdl.handle.net/1903.1/12551,"Nova Virginiae Tabula, 1635","Blaeu, William Jans Zoon",1635,SPECIAL PERMISSION USE ONLY,1,historical maps,Virginia - Chesapeake Bay,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
G3880 1636.H65,g3880_1636.h65.jpg,http://hdl.handle.net/1903.1/12552,"Nova Virginiae Tabula, 1636","Hondius, Henry",1636,SPECIAL PERMISSION USE ONLY,1,historical maps,Virginia - Chesapeake Bay,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
G3842.C5 1671.N68,https://digital.lib.umd.eduhttp://hdl.handle.net/1903.1/12532,http://hdl.handle.net/1903.1/12532,Nova-terrae-Maria tabulae.,"Herman, Augustin.",1671 (circa),SPECIAL PERMISSION USE ONLY,1,historical maps,Maryland - Chesapeake Bay,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 127,md127d.jpg,,"Novi Belgii, Noveque Angliae, nec non partis Virginiae Tabula.","Visscher, N.J.",1659,"This copy is a reprint from the report of the Mason and Dixon Line Resurvey Commission, MD F187.B7M3 (plate LXXV).",1,Historical maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
CB 042,cb042.jpg,,"Oyster & Clam Harvesting Waters, Maryland Chesapeake Bay Region",Maryland Department of the Environment,1988 - 2003,With booklet: Description of closed and conditionally approved shellfish waters.,5,Coastal Zone Map,Maryland - Chesapeake Bay,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
BC 052,bc052.jpg,,"Plan of Loudon Park Cemetery, Baltimore, Maryland",A. Hoen & Company,No Date,"Laid out by William Arrott, civil engineer.",1,Thematic maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BC 016,bc-016_1.jpg,http://hdl.handle.net/1903.1/12539%20,Plan of the City & Environs of Baltimore,Warner & Hanna,1801,,2,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BC 034,bc034.jpg,,Plan of the City of Baltimore Compiled from the Actual Survey,"Lucas, Fielding",1845,,1,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
BC 123,bc123.jpg,,"Plat of Montebello, Woodbourne, Marble Hall Farms, & Swansea",Roland Park Company,1940,,1,Regional maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD 085,md085d.jpg,,Present Maryland Routes (Montgomery and Prince George's counties),"Washington, D.C. Transit System, Inc.",1959,,1,Transportation Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 161,md161d.jpg,,Proposed Channels and Culverts for Decatur Heights,,No Date,Blueprint.,1,Regional maps,Decatur Heights,33° 46′ N,33° 46′ N,84° 17′ W,84° 17′ W
MD 113,md113d.jpg,,"Rand, McNally & Co. Maryland, D.C., and Delaware",,1898,,1,Historical maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 005,md005.jpg,,Reconnaissance Erosion Survey,U.S. Soil Conservation Service,1932,,1,Soil Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 028,md028d-2.jpg,,Relative Productivity of Maryland Soils,Maryland Agricultural Experiment Station.,No Date,,2,Soil Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
BC 116,bc116-oversize.jpg,,"Rippey's Index Map, Baltimore, Maryland",,1886,Originally bound with: Maryland F189.B1R65 1888.,1,Historical maps,Baltimore City,39° 17′ N,39° 17′ N,76° 36′ W,76° 36′ W
MD 015,md015d.jpg,,Routes Traveled by George Washington in Maryland,"A. Hoen Co., Inc.",1932,2 copies,1,Thematic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 041,md041.jpg,,Salt Water Sport Fishing and Boating in Maryland,Alexandria Drafting Company,1977 - 1981,Two atlas editions: 1977 and 1981,88,Thematic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 126,md1261.jpg,,Sample Localities,"Maryland. Dept. of Geology, Mines and Water Resources.",1948,Originally bound with: Maryland QE121.A25 no.3.,1,Geological maps,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD/VA 030,mdva30d-1.jpg,,Seat of War in Virginia and Maryland,Weekly Dispatch,1863,,2,Historical maps,Maryland and Virginia,39° 43′ N,36° 32′ N,83° 41′ W,75° 03' W 
MD 076,md076tr.jpg,,Status of Aerial Photography Coverage,U.S. Soil Conservation Service,1968,,1,Regional Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 074,md074tr.jpg,,"Status of Aerial Photography Coverage, 1969",U.S. Dept. of Agriculture,1969,,1,Regional Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 004,md004d.jpg,,Stream and Lake Map of Maryland,Maryland Game and Inland Fish Commission,1955,,1,Regional Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
MD 012,md012d.jpg,,The Indian Tribes of the State of Maryland,,1935,,1,Thematic Map,Maryland,39° 43′ N,37° 53′ N,79° 29′ W,75° 03′ W
